name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Marie-Angèle MOOS,Les Verts,Non/Nein,Les Verts,Les Verts,F,28.07.1960,Valais romand,Sierre,Député-e suppléant-e,20191213154211
Marylène MOOS,UDC,Oui/Ja,UDC,UDC,F,03.09.1957,Valais romand,Hérens,Député-e suppléant-e,20191213154211
Didier MORARD,PLR,Oui/Ja,PLR,PLR,H,26.11.1978,Valais romand,Hérens,Député-e,20191213154211
Fabienne MORET-ROTH,PDCB,Oui/Ja,PDCB,PDC,F,09.06.1969,Valais romand,Martigny,Député-e suppléant-e,20191213154211
Richard NANCHEN,PLR,Oui/Ja,PLR,PLR,H,13.05.1963,Valais romand,Sierre,Député-e suppléant-e,20191213154211
Sébastien NENDAZ,AdG/LA,Non/Nein,AdG/LA ,AdG/LA,H,28.08.1981,Valais romand,Hérens,Député-e suppléant-e,20191213154211
Marie-Claude NOTH-ECOEUR,PLR,Oui/Ja,PLR,PLR,F,25.09.1965,Valais romand,Monthey,Député-e,20191213154211
Christophe PANNATIER,PDCC,Oui/Ja,PDCC,PDC,H,21.12.1981,Valais romand,Sion,Député-e,20191213154211
Bruno PERROUD,UDC,Oui/Ja,UDC,UDC,H,12.12.1967,Valais romand,Sion,Député-e,20191213154211
Sandrine PERRUCHOUD,AdG/LA,Non/Nein,AdG/LA,AdG/LA,F,04.03.1969,Valais romand,Martigny,Député-e,20191213154211
Aron PFAMMATTER,CVPO,Oui/Ja,CVPO,PDC,H,15.04.1982,Haut-Valais,Brig,Député-e,20191213154211
Stéphane PONT,PDCC,Oui/Ja,PDCC,PDC,H,05.02.1966,Valais romand,Sierre,Député-e,20191213154211
Joachim RAUSIS,PDCB,Oui/Ja,PDCB,PDC,H,22.03.1979,Valais romand,Entremont,Député-e,20191213154211
Laurent REY,PDCB,Oui/Ja,PDCB,PDC,H,05.04.1969,Valais romand,St-Maurice,Député-e,20191213154211
Serge REY,UDC,Oui/Ja,UDC,UDC,H,18.07.1991,Valais romand,Sierre,Député-e suppléant-e,20191213154211
Yvan RION,UDC,Oui/Ja,UDC,UDC,H,06.02.1954,Valais romand,Sierre,Député-e,20191213154211
André RODUIT,PDCB,Oui/Ja,PDCB,PDC,H,12.07.1963,Valais romand,Martigny,Député-e,20191213154211
Flavien SAUTHIER,UDC,Oui/Ja,UDC,UDC,H,08.08.1972,Valais romand,Conthey,Député-e,20191213154211
Anne-Marie SAUTHIER-LUYET,PLR,Oui/Ja,PLR,PLR,F,27.04.1954,Valais romand,Sion,Député-e,20191213154211
Jérémy SAVIOZ,Les Verts,Non/Nein,Les Verts,Les Verts,H,24.08.1970,Valais romand,Sierre,Député-e,20191213154211
Fabien SCHAFEITEL,PDCC,Oui/Ja,PDCC,PDC,H,16.06.1986,Valais romand,Hérens,Député-e,20191213154211
Flavien SCHALLER,PDCB,Oui/Ja,PDCB,PDC,H,12.09.1973,Valais romand,Monthey,Député-e,20191213154211
Manfred SCHMID,CVPO,Oui/Ja,CVPO,PDC,H,16.02.1968,Haut-Valais,Westlich Raron,Député-e,20191213154211
Doris SCHMIDHALTER-NÄFEN,AdG/LA,Non/Nein,AdG/LA,AdG/LA,F,01.12.1958,Haut-Valais,Brig,Député-e,20191213154211
Michel SFORZA,UDC,Oui/Ja,UDC,UDC,H,13.12.1980,Valais romand,Monthey,Député-e suppléant-e,20191213154211
Sandro STEINER,CVPO,Oui/Ja,CVPO,PDC,H,17.09.1990,Haut-Valais,Leuk,Député-e suppléant-e,20191213154211
Rainer STUDER,CVPO,Oui/Ja,CVPO,PDC,H,25.06.1979,Haut-Valais,Visp,Député-e,20191213154211
Sonia TAUSS-CORNUT,PLR,Oui/Ja,PLR,PLR,F,24.10.1975,Valais romand,Monthey,Député-e,20191213154211
Jean-Pierre TERRETTAZ,PLR,Oui/Ja,PLR,PLR,H,29.06.1953,Valais romand,Martigny,Député-e,20191213154211
Olivier TURIN,AdG/LA,Non/Nein,AdG/LA,AdG/LA,H,27.01.1973,Valais romand,Monthey,Député-e,20191213154211
Jean-Daniel VERGÈRES,PLR,Oui/Ja,PLR,PLR,H,27.09.1958,Valais romand,Conthey,Député-e suppléant-e,20191213154211
Edgar VIEUX,UDC,Oui/Ja,UDC,UDC,H,13.04.1959,Valais romand,Monthey,Député-e suppléant-e,20191213154211
Francesco WALTER,CVPO,Oui/Ja,CVPO,PDC,H,04.12.1960,Haut-Valais,Goms,Député-e,20191213154211
Frank WENGER,CSPO,Oui/Ja,CSPO,PDC,H,21.06.1972,Haut-Valais,Goms,Député-e,20191213154211
Egon WERLEN,CSPO,Oui/Ja,CSPO,PDC,H,05.05.1969,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213154211
Johann WOEFFRAY,PDCB,Oui/Ja,PDCB,PDC,H,02.02.1983,Valais romand,Monthey,Député-e suppléant-e,20191213154211
Fabian ZURBRIGGEN,SVPO,Oui/Ja,SVPO,UDC,H,06.11.1973,Haut-Valais,Visp,Député-e,20191213154211
